analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
pooled,pooled,10,Memory,domain_group_ridge,100,23.96645275134499,19.688526572872686,-0.9019810437368292
repeat,1,10,Executive function,ridge,10,10.528838152177583,8.711042247310427,0.0026016969205232554
repeat,2,10,Executive function,ridge,10,11.382460725277534,9.34369627448606,-0.16568188180625754
repeat,3,10,Executive function,ridge,10,11.711257439484818,8.957148019574714,-0.2339989240589686
repeat,4,10,Executive function,ridge,10,12.653737736725667,10.85508400379843,-0.4406065441172231
repeat,5,10,Executive function,ridge,10,12.451732780342299,10.795507164985302,-0.39497784197531005
repeat,6,10,Executive function,ridge,10,15.234640015663704,12.353006791958212,-1.0882001303412991
repeat,7,10,Executive function,ridge,10,15.147707592732989,12.323305654159746,-1.0644366067117432
repeat,8,10,Executive function,ridge,10,10.540589525450942,8.824956880515234,0.00037403600280927485
repeat,9,10,Executive function,ridge,10,13.50868675344923,11.249897107551401,-0.6418519293864511
repeat,10,10,Executive function,ridge,10,11.29693936560865,9.085241840655973,-0.14823114032618778
repeat,1,10,Executive function,domain_group_ridge,10,21.419908347238255,15.0934289403165,-3.128030921638709
repeat,2,10,Executive function,domain_group_ridge,10,11.87677352292218,10.647754905242772,-0.2691258071825189
repeat,3,10,Executive function,domain_group_ridge,10,13.322394683069241,11.333474561164795,-0.5968801292311312
repeat,4,10,Executive function,domain_group_ridge,10,14.981612415375803,13.241184310835711,-1.0194115697296375
repeat,5,10,Executive function,domain_group_ridge,10,14.06368870743538,12.12951247679487,-0.7795336932784158
repeat,6,10,Executive function,domain_group_ridge,10,26.313717854287322,19.1172737929975,-5.2297720046051275
repeat,7,10,Executive function,domain_group_ridge,10,12.956111405642801,11.277415672787704,-0.5102786143169638
repeat,8,10,Executive function,domain_group_ridge,10,25.296189299514168,19.6327422549415,-4.757287675597192
repeat,9,10,Executive function,domain_group_ridge,10,26.708242593988796,19.224597251170525,-5.417979861185307
repeat,10,10,Executive function,domain_group_ridge,10,13.555042949308683,11.342374193012603,-0.6531395696959938
pooled,pooled,10,Executive function,mean_baseline,100,10.774715483482614,9.309249999999999,-0.04452622281043994
pooled,pooled,10,Executive function,ridge,100,11.839934526181809,9.689806827570104,-0.2612649496180872
pooled,pooled,10,Executive function,domain_group_ridge,100,18.67746551259704,12.455307234297141,-2.13865522318699
repeat,1,10,Processing speed,ridge,9,14.10880783342444,10.898510606954055,-0.14361977755083788
repeat,2,10,Processing speed,ridge,9,14.655156089055323,13.067321459788753,-0.23390554977924483
