repeat,fold,feature_scope,term_name,coefficient,ridge_alpha
1,1,primary_plus_adjusted,touch_scroll_event_count,0.050321592420948524,621.0169418915616
1,1,primary_plus_adjusted,touch_scroll_index_change_median,0.05195462965471666,621.0169418915616
1,1,primary_plus_adjusted,touch_unique_app_count,0.008190808256243586,621.0169418915616
1,1,primary_plus_adjusted,barometer_downward_transition_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,barometer_estimated_elevation_change_m,0.0,621.0169418915616
1,1,primary_plus_adjusted,barometer_large_vertical_shift_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,barometer_pressure_range,0.0,621.0169418915616
1,1,primary_plus_adjusted,barometer_pressure_sd,0.0,621.0169418915616
1,1,primary_plus_adjusted,barometer_upward_transition_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,sensor_linear_accelerometer_active_hour_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,sensor_linear_accelerometer_event_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,sensor_linear_accelerometer_maximum_range,0.0,621.0169418915616
1,1,primary_plus_adjusted,sensor_linear_accelerometer_power_ma,0.0,621.0169418915616
1,1,primary_plus_adjusted,sensor_linear_accelerometer_resolution,0.0,621.0169418915616
1,1,primary_plus_adjusted,significant_active_hour_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,significant_motion_transition_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,significant_moving_event_count,0.0,621.0169418915616
1,1,primary_plus_adjusted,significant_moving_fraction,0.0,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_app_foreground_event_count,-0.010630252504351723,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_app_use_diversity,-0.010630252504351723,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_unique_foreground_apps,-0.010630252504351723,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_gsm_cell_transition_count,0.07186798563617477,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_unique_gsm_cell_count,0.07186798563617477,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_unique_gsm_lac_count,0.07186798563617477,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_keyboard_deletion_event_count,-0.066447419170977,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_keyboard_inter_event_interval_iqr_ms,-0.066447419170977,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_keyboard_long_pause_count_2s,-0.066447419170977,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_keyboard_median_inter_event_interval_ms,-0.066447419170977,621.0169418915616
1,1,primary_plus_adjusted,missingindicator_keyboard_typing_burst_count,-0.066447419170977,621.0169418915616
