analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,13,Global,mean_baseline,61,5.8983522349589395,4.370431164268988,-0.0567868488178338
repeat,13,Global,t1_primary_10pct_delta_ridge,61,5.902033662794794,4.378453817485986,-0.058106437231772556
repeat,14,Global,mean_baseline,61,5.769129454166794,4.2864440448310495,-0.010989303335696476
repeat,14,Global,t1_primary_10pct_delta_ridge,61,5.764295626606531,4.291188454751675,-0.009295841379979297
repeat,15,Global,mean_baseline,61,5.858138094950354,4.329654566744732,-0.04242592201255713
repeat,15,Global,t1_primary_10pct_delta_ridge,61,6.703231725802899,4.92220665322349,-0.36487996207052276
repeat,16,Global,mean_baseline,61,5.816875094913982,4.327831214452996,-0.02779255812717496
repeat,16,Global,t1_primary_10pct_delta_ridge,61,5.815097657895018,4.3307824805343555,-0.027164537961154478
repeat,17,Global,mean_baseline,61,5.8045554748656665,4.289979926396789,-0.023443623314894024
repeat,17,Global,t1_primary_10pct_delta_ridge,61,5.806755536592345,4.29963124248883,-0.024219588284704496
repeat,18,Global,mean_baseline,61,5.78920128872796,4.264916499386642,-0.01803636673252229
repeat,18,Global,t1_primary_10pct_delta_ridge,61,5.811280218784678,4.305144707336028,-0.025816374523441654
repeat,19,Global,mean_baseline,61,5.777816106694858,4.307292712166834,-0.014036114653646514
repeat,19,Global,t1_primary_10pct_delta_ridge,61,6.586489234174085,4.849095830821208,-0.31775285158372135
